id,skills,titles,major
/in/cyjean/,"['Java', 'Education', 'C', 'Python', 'OCaml', 'Ruby', 'Numerical Analysis', 'Education', 'OCaml', 'Numerical Analysis', 'Java', 'C', 'Python', 'Ruby']","['Appirio', 'Appirio', 'Appirio', 'Appirio', 'Appirio']","['Bachelor of Science (BS), Computer Science']"
/in/marlabar/,"['SPSS', 'Critical Thinking', 'Agile Methodologies', 'Quality Assurance', 'Scrum', 'Test Cases', 'Filing', 'Kanban', 'Testing', 'LexisNexis', 'Microsoft Office', 'Salesforce.com', 'Microsoft Access', 'JIRA', 'SharePoint', 'Salesforce Lightning', 'Microsoft Outlook', 'Microsoft Word', 'Microsoft Excel', 'Training', 'Agile Methodologies', 'Quality Assurance', 'Scrum', 'Test Cases', 'Filing', 'Kanban', 'Testing', 'Training', 'SPSS', 'LexisNexis', 'Microsoft Office', 'Salesforce.com', 'Microsoft Access', 'JIRA', 'SharePoint', 'Salesforce Lightning', 'Microsoft Outlook', 'Microsoft Word', 'Microsoft Excel', 'Critical Thinking', 'Communication']","['Accenture Federal Services', 'Accenture Federal Services', 'Accenture Federal Services']","[""Bachelor's degree, Criminology and Criminal Justice"", 'High School Diploma']"
/in/rishipatel94/,"['Product Development', 'Project Management', 'Marketing Strategy', 'Digital Marketing', 'Business Development', 'Product Development', 'Project Management', 'Marketing Strategy', 'Digital Marketing', 'Business Development', 'AutoCAD', 'Microsoft Office', 'Microsoft Excel', 'Microsoft Word', 'Leadership']","['Business System Analyst', 'President', 'Founder/CEO', 'Project Manager Intern', 'Campus Representative', 'Project Coordinator Intern', 'Campus Liaison', 'Field Intern']","['Bachelor of Science (B.S.), Mechanical Engineering']"
/in/jerryzhuo/,25,"['Data Analyst Intern', 'Accounting Intern', 'Marketing Assistant Intern']","[""Master's degree"", ""Bachelor's degree, International Business; Finance"", ""Associate's degree, Business Administration and Management, General""]"
/in/devanshi-shah-21592713a/,"['Embedded Systems', 'Embedded Systems']","['Graduate Teaching Assistant', 'Data Analyst Intern', 'Intern', 'Technical Intern', 'Summer Intern', 'Intern']","[""Master's degree, Information Management - Data Analytics"", 'Bachelor of Technology, Electronics and Communication Engineering ']"
/in/jesse-ekweozoh-5132701b6/,27,['NaN'],['Computer Science']
/in/nicole-vertescher-17519a129/,"['Microsoft Office', 'Microsoft Excel', 'Customer Service', 'Leadership', 'Time Management', 'Microsoft Word', 'Customer Service', 'Time Management', 'Microsoft Office', 'Microsoft Excel', 'Microsoft Word', 'Leadership']","['Senior Recruiting Consultant', 'On Premise Account Recruiting Manager', 'Recruiter at Aerotek', 'Community Assistant', 'Pharmacy Volunteer', 'Laboratory Assistant', 'Laboratory Assistant, Intern', 'Residential Counselor, Instructor']","['Bachelor of Science (B.S.), Biology, General']"
/in/linda-johnson-mba-5a2a2a64/,"['Teamwork', 'Public Speaking', 'Team Leadership', 'Time Management', 'Customer Service', 'Microsoft Office', 'Microsoft Word', 'Matlab', 'PowerPoint', 'Event Planning', 'Social Media', 'Microsoft Excel', 'English', 'Windows', 'Microsoft PowerPoint', 'SolidWorks', 'CATIA', 'WMS (Warehouse Management System)', 'Lean Six Sigma', 'Kaizen Leadership', 'Time Management', 'Customer Service', 'Event Planning', 'Social Media', 'Lean Six Sigma', 'Kaizen Leadership', 'Project Management', 'WMS Implementations', 'Manufacturing', 'Data Analysis', 'Engineering', 'Mechanical Engineering', 'Research', 'Cross-functional Team Leadership', 'Microsoft Office', 'Microsoft Word', 'Matlab', 'PowerPoint', 'Microsoft Excel', 'Windows', 'Microsoft PowerPoint', 'SolidWorks', 'CATIA', 'Microsoft Project', 'Oracle Database', 'Teamwork', 'Public Speaking', 'Team Leadership', 'Leadership', 'Management', 'Problem Solving', 'English', 'PTS']","['Program Manager', 'NPI OLM Program Manager', 'Manufacturing Operations Supervisor', 'Associate Supply Chain Engineer', 'Mechanical Engineering Intern, Global Engineering Service Center', 'How Stuff Works Teaching Assistant', 'Undergraduate Research Assistant', 'Conference Planning Chair', 'Intern for Cellulose Esters and Specialty Plastics Department', 'Corporate Relations Board Chair', 'Mechanical Engineering Intern']","['Master of Business Administration - MBA', 'Bachelor of Science (BS), Mechanical Engineering']"
/in/z-serpil-gonen-williams-198ba116/,"['Nanotechnology', 'R&amp;D', 'Materials Science', 'Characterization', 'Design of Experiments', 'Chemistry', 'Surface Modification', 'Nanomaterials', 'AFM', 'Thin Films', 'Spectroscopy', 'Nanoparticles', 'Polymers', 'Powder X-ray Diffraction', 'Coatings', 'Product Development', 'Lean Manufacturing', 'Nanotechnology', 'R&amp;D', 'Materials Science', 'Characterization', 'Design of Experiments', 'Chemistry', 'Surface Modification', 'Nanomaterials', 'Thin Films', 'Spectroscopy', 'Nanoparticles', 'Polymers', 'Powder X-ray Diffraction', 'Coatings', 'Product Development', 'Lean Manufacturing', 'AFM']","['Pixelligent Technologies, LLC', 'Pixelligent Technologies, LLC', 'Pixelligent Technologies, LLC', 'Pixelligent Technologies, LLC', 'Pixelligent Technologies, LLC']","['PhD, Inorganic Chemistry', 'MS, Inorganic Chemistry', 'BS, Chemistry Education']"
/in/janneumann/,"['Machine Learning', 'Algorithms', 'Image Processing', 'Computer Vision', 'Python', 'Pattern Recognition', 'Computer Science', 'Matlab', 'Software Development', 'Programming', 'Software Engineering', 'C++', 'Linux', 'Java', 'Perl', 'Unix', 'Data Mining', 'Databases', 'MySQL', 'Artificial Intelligence', 'Machine Learning', 'Algorithms', 'Image Processing', 'Computer Vision', 'Pattern Recognition', 'Computer Science', 'Software Development', 'Programming', 'Software Engineering', 'Data Mining', 'Artificial Intelligence', 'Distributed Systems', 'Statistics', 'Python', 'Matlab', 'C++', 'Linux', 'Java', 'Perl', 'Unix', 'Databases', 'MySQL', 'C#']","['Comcast', 'Comcast', 'Comcast']","['PhD, Computer Science', 'Doctor of Philosophy - PhD, Computer Science', 'Vordiplom, Medical Computer Science']"
/in/christinaalemayehu/,"['Time Management', 'Team Building', 'Microsoft Office', 'Time Management', 'Team Building', 'Microsoft Office']","['Honor Council<span class=""white-space-pre""> </span></span><span class=""visually-hidden"">', 'Finance Committee Member', 'Volunteer Staff', 'Volunteer', 'Volunteer Staff', 'Communications Manager', 'Student Volunteer', 'Work Project']",['Public Relations and Nonprofit leadership and Social Innovation ']
/in/adamhoward56/,"['Java', 'Python', 'Unity3D', 'Agile Methodologies', 'HTML5', 'Cascading Style Sheets (CSS)', 'C#', 'Bash', 'Django', 'Corona SDK', 'Blender', 'GIMP', 'Agile Methodologies', 'Corona SDK', 'Blender', 'GIMP', 'Java', 'Python', 'Unity3D', 'HTML5', 'Cascading Style Sheets (CSS)', 'C#', 'Bash', 'Django']","['Software Development Engineer', 'Research Infrastructure Engineer', 'Resident Assistant', 'Software Development Engineer (SDE) Intern', 'Software/System Engineering Intern', 'Software Engineer Intern']","['Bachelor of Science - BS, Computer Science', 'High School Diploma']"
/in/helawe/,"['3D Printing', 'Research', 'C++', 'MATLAB', 'SOLIDWORKS', 'PTC Creo', 'Autodesk Inventor', 'Microsoft Excel', '3D Printing', 'Research', 'C++', 'MATLAB', 'SOLIDWORKS', 'PTC Creo', 'Autodesk Inventor', 'Microsoft Excel']","['Project Engineer', 'Teaching Assistant<span class=""white-space-pre""> </span></span><span class=""visually-hidden"">', 'Mechanical Engineering Intern', 'Research Assistant']","['Bachelor of Science - BS, Mechanical Engineering', ""Bachelor's degree, Mechanical Engineering"", 'High School Diploma']"
/in/jeremy-hess-41524016a/,"['Cloud Computing', 'Microsoft Office', 'Data Analysis', 'Computer Science', 'Information Technology', 'Java', 'SQL', 'Python (Programming Language)', 'Software Development', 'Cloud Computing', 'Data Analysis', 'Computer Science', 'Information Technology', 'Software Development', 'Microsoft Office', 'Java', 'SQL', 'Python (Programming Language)']","['Software Engineer Intern', 'Software Engineer Intern', 'Technical Intern', 'Software Engineer Intern']","[""Bachelor's degree, Computer Science and Economics""]"
